,SRR13711353_SE,SRR13711353-SRR13711354_SE,SRR13711353-SRR13711354-SRR13711355_SE,SRR13711353-SRR13711354-SRR13711355-SRR13711356_SE,SRR13711353-SRR13711354-SRR13711355-SRR13711356-SRR13711357_SE,SRR13711353_PE,SRR13711353-SRR13711354_PE,SRR13711353-SRR13711354-SRR13711355_PE,SRR13711353-SRR13711354-SRR13711355-SRR13711356_PE,SRR13711353-SRR13711354-SRR13711355-SRR13711356-SRR13711357_PE,SRR12077404_SE,SRR12077404-SRR12077405_SE,SRR12077404-SRR12077405-SRR12077406_SE,SRR12077404-SRR12077405-SRR12077406-SRR12077407_SE,SRR12077404-SRR12077405-SRR12077406-SRR12077407-SRR12077408_SE,SRR12077404_PE,SRR12077404-SRR12077405_PE,SRR12077404-SRR12077405-SRR12077406_PE,SRR12077404-SRR12077405-SRR12077406-SRR12077407_PE,SRR12077404-SRR12077405-SRR12077406-SRR12077407-SRR12077408_PE
sample_id,SRR13711353,SRR13711353-SRR13711354,SRR13711353-SRR13711354-SRR13711355,SRR13711353-SRR13711354-SRR13711355-SRR13711356,SRR13711353-SRR13711354-SRR13711355-SRR13711356-SRR13711357,SRR13711353,SRR13711353-SRR13711354,SRR13711353-SRR13711354-SRR13711355,SRR13711353-SRR13711354-SRR13711355-SRR13711356,SRR13711353-SRR13711354-SRR13711355-SRR13711356-SRR13711357,SRR12077404,SRR12077404-SRR12077405,SRR12077404-SRR12077405-SRR12077406,SRR12077404-SRR12077405-SRR12077406-SRR12077407,SRR12077404-SRR12077405-SRR12077406-SRR12077407-SRR12077408,SRR12077404,SRR12077404-SRR12077405,SRR12077404-SRR12077405-SRR12077406,SRR12077404-SRR12077405-SRR12077406-SRR12077407,SRR12077404-SRR12077405-SRR12077406-SRR12077407-SRR12077408
rna_dna,RNA-Seq,RNA-Seq,RNA-Seq,RNA-Seq,RNA-Seq,RNA-Seq,RNA-Seq,RNA-Seq,RNA-Seq,RNA-Seq,DNA-Seq,DNA-Seq,DNA-Seq,DNA-Seq,DNA-Seq,DNA-Seq,DNA-Seq,DNA-Seq,DNA-Seq,DNA-Seq
layout,SE,SE,SE,SE,SE,PE,PE,PE,PE,PE,SE,SE,SE,SE,SE,PE,PE,PE,PE,PE
m_compress_abridge_ignore_soft_clippings_ignore_mismatches_ignore_quality_scores_ignore_unmapped_reads_zpaq,2268052,12349584,86705896,19566284,8723828,2211332,3859012,6519240,22713044,65977828,4068700,7145148,9951644,11553436,11728948,5172836,9256612,11262128,11764628,13435380
s_compress_deez_lossy_0_mode_1,669,1359,2032,2681,3508,747,1542,2316,3021,3960,841,1571,2395,3092,4405,845,1587,2428,3149,4500
s_compress_deez_lossy_0_mode_2,702,1429,2138,2818,3687,779,1612,2421,3157,4138,868,1621,2471,3190,4540,873,1638,2506,3250,4639
s_compress_deez_lossy_50_mode_1,669,1359,2032,2681,3508,747,1542,2316,3021,3960,841,1571,2395,3092,4405,845,1587,2428,3149,4500
s_compress_deez_lossy_50_mode_2,702,1429,2138,2818,3687,779,1612,2421,3157,4138,868,1621,2471,3190,4540,873,1638,2506,3250,4639
s_compress_deez_lossy_99_mode_1,463,937,1394,1851,2425,542,1124,1683,2197,2886,841,1571,2395,3092,4405,845,1587,2428,3149,4500
s_compress_deez_lossy_99_mode_2,486,985,1465,1943,2546,564,1171,1754,2289,3006,868,1621,2471,3190,4540,873,1638,2506,3250,4639
t_compress_deez_lossy_0_mode_1,288,539,810,1117,1455,272,526,815,1057,1377,540,1045,1626,2161,3142,510,975,1517,2266,3182
t_compress_deez_lossy_0_mode_2,270,501,753,1045,1372,258,488,769,993,1295,508,981,1501,2015,2937,483,930,1431,2110,2979
t_compress_deez_lossy_50_mode_1,290,546,824,1136,1475,275,525,824,1059,1396,546,1033,1587,2153,3286,518,981,1525,2271,3250
t_compress_deez_lossy_50_mode_2,275,504,760,1078,1383,261,492,773,1002,1292,514,981,1547,2033,3250,486,938,1437,2151,3038
t_compress_deez_lossy_99_mode_1,281,521,776,1075,1420,264,502,778,1028,1339,547,1040,1652,2154,3817,510,998,1539,2244,3223
t_compress_deez_lossy_99_mode_2,264,492,735,1017,1345,253,481,748,960,1250,517,970,1458,2042,2800,481,935,1505,2120,3151
m_compress_deez_lossy_0_mode_1,2748084,2734952,2729768,2800228,2757784,2733964,2719760,2787992,2767848,2758660,2342628,2311528,2308344,2378592,2419988,2340228,2351336,2389680,2366820,2520468
m_compress_deez_lossy_0_mode_2,2286932,2306288,2305452,2369808,2380396,2258996,2290636,2347228,2340012,2329696,1941340,1925916,1910144,1951168,2007700,1862996,1921516,1866244,1918560,2065836
m_compress_deez_lossy_50_mode_1,2748140,2736860,2728548,2785424,2779536,2734532,2717444,2791488,2766820,2758700,2342668,2313120,2307868,2381660,2417768,2340624,2351860,2388384,2368056,2522104
m_compress_deez_lossy_50_mode_2,2286540,2307980,2303844,2362380,2339592,2261708,2292492,2347604,2337056,2330228,1941496,1928008,1905772,1950496,2005628,1861748,1921264,1867304,1918472,2066948
m_compress_deez_lossy_99_mode_1,2730944,2689056,2722840,2787228,2750040,2721628,2707672,2755880,2780084,2742700,2342668,2312628,2306980,2380796,2419296,2340268,2353804,2387604,2368376,2520664
m_compress_deez_lossy_99_mode_2,2305864,2308204,2283780,2344300,2360972,2248896,2260404,2341108,2348736,2317468,1940776,1925972,1911896,1951200,2011156,1863424,1921756,1866580,1918252,2065116
s_compress_samcomp,615,1227,1817,2349,3045,653,1309,1928,2497,3239,947,1585,2280,2863,3926,963,1619,2332,2932,4023
t_compress_samcomp,149,300,451,583,763,148,297,447,578,756,320,609,884,1210,1698,314,584,961,1221,1758
m_compress_samcomp,443312,445216,443828,443424,444336,443388,444728,444772,445272,444108,445204,445104,443540,443284,443288,443876,445148,444160,443284,443280
s_compress_genozip_optimize__compression_best,600,1269,1933,2504,3262,648,1338,1999,2602,3387,774,1476,2310,2975,4181,910,1687,2557,3295,4611
s_compress_genozip_optimize__compression_fast,637,1334,2014,2704,3506,677,1396,2150,2697,3639,814,1546,2466,3059,4420,972,1731,2753,3408,4952
s_compress_genozip_optimize_optimize_compression_best,600,1269,1924,2504,3262,648,1338,1999,2602,3387,774,1476,2310,2975,4145,910,1687,2558,3295,4611
s_compress_genozip_optimize_optimize_compression_fast,635,1331,2085,2621,3405,676,1401,2140,2701,3637,848,1545,2357,3060,4279,949,1818,2679,3428,4783
t_compress_genozip_optimize__compression_best,924,1279,1640,3844,5023,831,1225,1642,2398,3095,1916,3706,4718,5954,8148,3334,6156,5565,6012,8228
t_compress_genozip_optimize__compression_fast,472,1543,1612,3044,4011,673,1059,1308,3130,2523,879,1820,2325,3361,3772,1290,2572,2279,3261,3853
t_compress_genozip_optimize_optimize_compression_best,641,1149,2916,2544,2796,592,1938,1845,3756,3278,1921,3554,5615,6011,7994,3259,3641,5255,6164,8202
t_compress_genozip_optimize_optimize_compression_fast,476,1593,2334,2092,2803,480,1004,1585,2097,2653,1254,1814,2427,3341,3876,820,1489,3822,5084,4349
m_compress_genozip_optimize__compression_best,1952448,3751776,4152300,4017236,4151896,1389372,1577384,2372188,2005356,2133716,3854928,5100792,6280860,6431852,7020852,1879124,2720836,3760784,3989440,5041996
m_compress_genozip_optimize__compression_fast,1850052,2928204,3588868,3624016,3820020,920728,1161992,1438996,1577872,1890028,2627920,4820480,5268428,5272836,6920956,1778536,2360788,3188460,4101852,4567416
m_compress_genozip_optimize_optimize_compression_best,2018704,3809676,3989900,4028032,4367956,1331024,1705136,2172932,1957312,2178420,3809772,5148956,5251968,6422612,7027768,1989844,2735168,3687216,3976152,5060580
m_compress_genozip_optimize_optimize_compression_fast,1826128,2928100,3537900,3698356,3917784,877200,1133116,1290412,1578640,1987568,2572500,4811496,5271744,5269420,6915656,1799616,2423648,3161520,3994912,4513332
s_compress_csam_q_0_m_0,1027,2109,3180,4125,5393,984,2023,3051,3953,5156,1474,2709,4092,5277,7268,1639,3020,4566,5886,8101
s_compress_csam_q_0_m_1,1027,2109,3180,4125,5393,984,2023,3051,3953,5156,1474,2709,4092,5277,7268,1639,3020,4566,5886,8101
s_compress_csam_q_0_m_2,1027,2109,3180,4125,5393,984,2023,3051,3953,5156,1474,2709,4092,5277,7268,1639,3020,4566,5886,8101
s_compress_csam_q_1_m_0,1638,3359,5075,6593,8609,1591,3263,4930,6400,8343,2252,4137,6250,8061,11107,2495,4592,6945,8959,12346
s_compress_csam_q_1_m_1,1399,2868,4333,5627,7350,1354,2777,4194,5441,7095,1978,3633,5490,7080,9755,2214,4075,6164,7952,10957
s_compress_csam_q_1_m_2,1320,2710,4091,5311,6938,1275,2619,3954,5128,6686,1902,3495,5281,6812,9384,2135,3933,5950,7676,10575
s_compress_csam_q_2_m_0,1638,3359,5075,6593,8609,1591,3263,4930,6400,8343,2252,4137,6250,8061,11107,2495,4592,6945,8959,12346
s_compress_csam_q_2_m_1,1399,2868,4333,5627,7350,1354,2777,4194,5441,7095,1978,3633,5490,7080,9755,2214,4075,6164,7952,10957
s_compress_csam_q_2_m_2,1320,2710,4091,5311,6938,1275,2619,3954,5128,6686,1902,3495,5281,6812,9384,2135,3933,5950,7676,10575
t_compress_csam_q_0_m_0,817,1142,2627,3427,4465,728,1195,2723,2232,4671,1625,3148,4770,3904,8465,1060,3263,2876,6328,5216
t_compress_csam_q_0_m_1,839,1164,2652,3452,4505,868,1207,2747,2226,4690,1673,3165,4847,6124,5358,1054,3314,2930,6193,5136
t_compress_csam_q_0_m_2,842,1151,2668,3481,3620,874,1193,2781,2252,4600,1685,3213,4648,5909,5033,1054,3277,2941,6052,5091
t_compress_csam_q_1_m_0,593,744,1909,2417,1849,620,796,2018,1489,3256,1336,2409,3696,4594,3706,819,2562,2207,4845,3942
t_compress_csam_q_1_m_1,596,750,1880,2358,1841,619,803,1986,1520,3237,1342,2404,3658,4585,3661,861,2523,2200,4653,3923
t_compress_csam_q_1_m_2,599,756,1832,2372,1857,624,818,1941,1528,3228,1353,2429,3600,4488,3676,840,2530,2204,2836,3943
t_compress_csam_q_2_m_0,609,766,1851,2412,1875,639,824,1966,1490,3231,1336,2418,3574,2623,3612,831,2488,2221,3006,3902
t_compress_csam_q_2_m_1,606,776,1877,2376,1852,641,835,1970,1490,2262,1298,2396,3523,2607,3590,843,2504,2220,2763,3746
t_compress_csam_q_2_m_2,619,790,1877,2389,1871,644,839,1978,1496,1967,1316,2403,3501,2974,3431,867,2509,2230,2644,3741
m_compress_csam_q_0_m_0,736800,1035636,1301620,1592960,1961056,1133080,2137044,2890788,3722044,4769908,777128,970852,1136544,1259312,1922616,972760,1238556,1555800,1816376,2727828
m_compress_csam_q_0_m_1,736472,1035636,1301608,1581812,1946340,1245720,2137044,2894808,3722064,4815508,831556,970720,1134992,1259208,1922700,972760,1242968,1556484,1816400,2728320
m_compress_csam_q_0_m_2,731296,1035632,1301424,1583364,1946468,1225728,2137048,2894804,3722156,4818576,831948,970744,1135020,1259244,1922760,972756,1243092,1556488,1816452,2728400
